Code zone (FAO),Zone,politc_stab,n_pop,inflation,deflator,chik_export,chik_import,disp_alim
157,Nicaragua,-348.48,5473945.521,0.0,78678.1593,13230.0,8420370.0,3475.98
158,Niger,-1176.12,19134953.86,0.0,100035.576,1236960.0,173100.0,6492.0
159,Nig?ria,-178.64,0.0,0.0,9584.691200000001,432.0,17796.0,0.0
159,Nigéria,0.0,1590553.434,0.0,0.0,0.0,0.0,54.02
160,Niou?,1.32,0.0,0.0,0.0,0.0,0.0,0.0
160,Nioué,0.0,11.302,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
162,Norv?ge,121.11,0.0,0.0,10907.2791,495.0,1038.0,0.0
162,Norvège,0.0,46154.71,0.0,0.0,0.0,0.0,108.64
163,Îles Mariannes du Nord,0.0,497.795,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
165,Pakistan,-1969.11,154862714.6,0.0,77262.2496,29135724.0,4729488.0,9424.8
166,Panama,110.88,3479429.052,0.0,80162.0388,1118838.0,11829888.0,23898.600000000002
167,Tch?quie,90.2,0.0,0.0,8484.404,24105060.0,3592422.0,0.0
167,Tchéquie,0.0,95388.934,0.0,0.0,0.0,0.0,85.89999999999999
168,Papouasie-Nouvelle-Guin?e,-60.06,0.0,0.0,10041.5412,294.0,3552.0,0.0
168,Papouasie-Nouvelle-Guinée,0.0,71572.713,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
169,Paraguay,-307.89,5880902.544,0.0,104572.6281,0.0,4956876.0,1283.76
170,Colombie,0.0,0.0,545.297984,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
170,P?rou,-55.330000000000005,0.0,0.0,9453.6477,141264.0,172576.0,0.0
170,Pérou,0.0,272493.45,0.0,0.0,0.0,0.0,76.96
171,Philippines,-1021.68,89469816.183,0.0,92405.4318,580125.0,1505790.0,6375.6
173,Pologne,727.65,33956094.843,0.0,99884.8422,463291920.0,841009050.0,32843.88
174,Comores,0.0,0.0,310.006997,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
174,Portugal,898.92,10320375.34,0.0,102408.417,453681072.0,132739164.0,36560.16
175,Guin?e-Bissau,-73.92,0.0,0.0,9440.544,0.0,122.0,0.0
175,Guinée-Bissau,0.0,15253.347,0.0,0.0,0.0,0.0,43.02
176,Timor-Leste,-172.26,1048817.385,0.0,85117.3434,0.0,25290.0,456.64000000000004
177,Porto Rico,499.95,3355188.1,0.0,99967.275,33352678.907117646,33120962.228784315,3034.9288039215703
178,?rythr?e,-64.57,0.0,0.0,8482.3384,963.0,1058.0,0.0
178,Congo,0.0,0.0,226.935351,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
178,Érythrée,0.0,29812.459,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
179,Qatar,956.34,2377159.07,0.0,96864.705,0.0,6266.0,0.0
180,Palaos,908.82,15808.023000000001,0.0,83573.8074,33352678.907117646,33120962.228784315,3034.9288039215703
180,R?publique d?mocratique du Congo,0.0,0.0,540.145054,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
181,Zimbabwe,-569.25,9406676.664,0.0,67753.8792,4953960.0,3166614.0,16248.6
182,Réunion,0.0,7711.079,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
183,Roumanie,162.36,15847594.4,0.0,85411.728,293253912.0,787770900.0,34314.84
184,?les Cook,0.0,0.0,192.861282,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
184,Rwanda,-92.07000000000001,9909735.561,0.0,94554.9045,95130.0,2136015.0,9499.68
185,F?d?ration de Russie,-89.32,0.0,0.0,9689.91,1632276.0,1824606.0,0.0
185,Fédération de Russie,0.0,1301691.041,0.0,0.0,0.0,0.0,100.58
187,"Sainte-Hélène, Ascension et Tristan da Cunha",0.0,51.064,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
188,Costa Rica,0.0,0.0,348.197188,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
188,Saint-Kitts-et-Nevis,677.16,45220.131,0.0,91624.4379,0.0,5940.0,837.1
189,Sainte-Lucie,722.7,141158.776,0.0,77402.268,0.0,23180.0,1169.98
190,Saint-Pierre-et-Miquelon,0.0,54.85,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
191,Croatie,0.0,0.0,148.317024,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
